dataset,seed,fold,method,pcc,rmse,mae,n_test
CCLE,6,0,ridge_only,0.7213012990571562,0.6930815813629113,0.5062445611875389,11360
CCLE,6,0,fixed_fusion,0.7276602123693734,0.6858085375708477,0.4990940617591124,11360
CCLE,6,0,adaptive_fusion,0.7263716865270862,0.6872644790487876,0.5006608697929998,11360
CCLE,7,0,imputer_only,0.727064200565573,0.6868866632376657,0.5012101005509092,11360
CCLE,7,0,ridge_only,0.7254553130607119,0.6888219774257925,0.5047147711991463,11360
CCLE,7,0,fixed_fusion,0.730965148081797,0.6823652092060052,0.497918145402076,11360
CCLE,7,0,adaptive_fusion,0.7299574463941728,0.6835407418279433,0.4993836555173133,11360
CCLE,8,0,imputer_only,0.7277015708577453,0.6860263055826994,0.5000259810367744,11360
CCLE,8,0,ridge_only,0.7247013708802691,0.6894854287360703,0.5037406667471592,11360
CCLE,8,0,fixed_fusion,0.7307312257975209,0.6825091151847265,0.4968323348488501,11360
CCLE,8,0,adaptive_fusion,0.7293183358112253,0.68412390201198,0.4984091409813899,11360
CCLE,9,0,imputer_only,0.7288373358951368,0.6846190288457001,0.5010651589726262,11360
CCLE,9,0,ridge_only,0.7256488638318439,0.6883483383007,0.5040900130764462,11360
CCLE,9,0,fixed_fusion,0.7318422128118871,0.6811845888654318,0.4980240418251065,11360
CCLE,9,0,adaptive_fusion,0.730585407213426,0.6826378071106536,0.4993311215900576,11360
ERKAUC30,0,0,imputer_only,0.6540411105608789,0.7675515412485723,0.5243295036693509,14538
ERKAUC30,0,0,ridge_only,0.6655111794059237,0.7478208556221038,0.5071318493224242,14538
ERKAUC30,0,0,fixed_fusion,0.6710312703290177,0.7441295812212482,0.5048201550579807,14538
ERKAUC30,0,0,adaptive_fusion,0.6716728894180466,0.7424633725568318,0.5029431184629939,14538
ERKAUC30,1,0,imputer_only,0.6501679890907307,0.7713227307627958,0.525569386699786,14538
ERKAUC30,1,0,ridge_only,0.6610412322944287,0.752844869450905,0.5106174392771887,14538
ERKAUC30,1,0,fixed_fusion,0.6668102672457129,0.748691730293114,0.5076986441765112,14538
ERKAUC30,1,0,adaptive_fusion,0.6673564606785585,0.7471991344371574,0.5064991559562767,14538
ERKAUC30,2,0,imputer_only,0.6487195016851948,0.771553908594028,0.5240865397536479,14538
ERKAUC30,2,0,ridge_only,0.6581192778079163,0.7551716134644015,0.5113132261425029,14538
ERKAUC30,2,0,fixed_fusion,0.6647107877619263,0.7501211124098599,0.5073510110428003,14538
ERKAUC30,2,0,adaptive_fusion,0.6646292464492792,0.7492823563540647,0.5066562470320279,14538
ERKAUC30,3,0,imputer_only,0.6550697743062618,0.7684991020849382,0.5265520131178147,14538
ERKAUC30,3,0,ridge_only,0.6675883185906192,0.7468571877183213,0.5063925184450059,14538
ERKAUC30,3,0,fixed_fusion,0.6724884764560317,0.7438719302118805,0.50568555348089,14538
ERKAUC30,3,0,adaptive_fusion,0.6735378360514078,0.7417021354506175,0.5031309685424847,14538
ERKAUC30,4,0,imputer_only,0.6521549386633437,0.7697689057562856,0.5248201022797684,14538
ERKAUC30,4,0,ridge_only,0.6654599263724089,0.7485333017287434,0.5079979761058662,14538
ERKAUC30,4,0,fixed_fusion,0.6699800169009018,0.7456621498589415,0.5059964874589996,14538
ERKAUC30,4,0,adaptive_fusion,0.6707823226540369,0.7439598415459581,0.5044682321120448,14538
ERKAUC30,5,0,imputer_only,0.6505778735980244,0.771491255920793,0.5255481710301851,14538
ERKAUC30,5,0,ridge_only,0.6670830296764211,0.7467746906835943,0.5064955694834742,14538
ERKAUC30,5,0,fixed_fusion,0.6698931133377712,0.7456761121650571,0.5052960042913875,14538
