dataset,seed,fold,method,pcc,rmse,mae,n_test,selected_alpha,inner_pcc
CCLE,3,6,adaptive_fusion,0.726642233167823,0.6861431942621949,0.5019840359014575,1136,0.2,0.6942112290599901
CCLE,3,7,imputer_only,0.7224251371217333,0.6998610605858894,0.5181536787804618,1136,,
CCLE,3,7,ridge_only,0.7189413019093887,0.7041578471870001,0.521994015073316,1136,,
CCLE,3,7,fixed_fusion,0.7247539552595788,0.6971462521536623,0.516055482289771,1136,,
CCLE,3,7,adaptive_fusion,0.7233994742959271,0.6987910176224112,0.5174440019240342,1136,0.3,0.6892383714975663
CCLE,3,8,imputer_only,0.7373204134760328,0.6503706789480451,0.4885973027530012,1136,,
CCLE,3,8,ridge_only,0.7287832925834768,0.6609381554849055,0.4976116999394973,1136,,
CCLE,3,8,fixed_fusion,0.7377476243172021,0.6499639954249204,0.4883894233454272,1136,,
CCLE,3,8,adaptive_fusion,0.7352460963672132,0.6530067598032088,0.4910130672713703,1136,0.3,0.7008988233953521
CCLE,3,9,imputer_only,0.7397799405689919,0.71131269939489,0.5091045619947565,1136,,
CCLE,3,9,ridge_only,0.734145111243821,0.7183253007870788,0.5141386015521663,1136,,
CCLE,3,9,fixed_fusion,0.74128105888196,0.7099489243406464,0.506771754017112,1136,,
CCLE,3,9,adaptive_fusion,0.7405463244737146,0.7108502392757693,0.5073734723703983,1136,0.4,0.692100213548603
CCLE,3,10,imputer_only,0.7038920227485161,0.6888781049692058,0.5137339990341273,1136,,
CCLE,3,10,ridge_only,0.7008948177311302,0.6914239603670306,0.5127791068513854,1136,,
CCLE,3,10,fixed_fusion,0.7070886463840906,0.6849317324255895,0.5090095408103364,1136,,
CCLE,3,10,adaptive_fusion,0.7057397668596197,0.6862819115977673,0.5096957949491029,1136,0.3,0.6975111061489214
CCLE,4,1,imputer_only,0.7354141624279756,0.701672754677325,0.5040355579993969,1136,,
CCLE,4,1,ridge_only,0.7254923675694949,0.7127347570466829,0.5110865580459112,1136,,
CCLE,4,1,fixed_fusion,0.7350518813133854,0.7020840148294432,0.5028632253065745,1136,,
CCLE,4,1,adaptive_fusion,0.7338687774940456,0.7034034492644022,0.5036226442874029,1136,0.4,0.6911121293911651
CCLE,4,2,imputer_only,0.7352621627712878,0.6913035463643775,0.5046122044469472,1136,,
CCLE,4,2,ridge_only,0.7243898389517598,0.703806775504574,0.507386323387116,1136,,
CCLE,4,2,fixed_fusion,0.7344842672240647,0.6919701578823664,0.5003079058992177,1136,,
CCLE,4,2,adaptive_fusion,0.7331996291677404,0.6934544129829195,0.5007115579758993,1136,0.4,0.6943628707814444
CCLE,4,3,imputer_only,0.7045237582572624,0.6812303969169975,0.5037702587518217,1136,,
CCLE,4,3,ridge_only,0.7003482467067716,0.6857602327647814,0.5049180911904534,1136,,
CCLE,4,3,fixed_fusion,0.7074897631524666,0.6774850943647478,0.4983537029650211,1136,,
CCLE,4,3,adaptive_fusion,0.7058316095813058,0.6793630032143794,0.4992607396895732,1136,0.3,0.6971244665268188
CCLE,4,4,imputer_only,0.7394121252903895,0.6498653829582501,0.4841626561766377,1136,,
CCLE,4,4,ridge_only,0.7362354851915767,0.6533767871995199,0.4909200249595402,1136,,
CCLE,4,4,fixed_fusion,0.7426775356056472,0.6463743386979203,0.4825250117101462,1136,,
CCLE,4,4,adaptive_fusion,0.7412408617574026,0.6479237320118341,0.484793227750371,1136,0.3,0.6872262359208198
CCLE,4,5,imputer_only,0.7083517002125518,0.6970029370738344,0.5099095929531807,1136,,
CCLE,4,5,ridge_only,0.7129289541890266,0.6920429509010614,0.5090002442958637,1136,,
CCLE,4,5,fixed_fusion,0.7155878358613564,0.6889896595936795,0.5051210675694908,1136,,
CCLE,4,5,adaptive_fusion,0.7157170061167666,0.688879281310437,0.505584687228011,1136,0.3,0.7006714230835507
CCLE,4,6,imputer_only,0.7475956465907583,0.7136094893682663,0.5076234748542793,1136,,
CCLE,4,6,ridge_only,0.7405370055875855,0.721680641478724,0.5154338811433673,1136,,
CCLE,4,6,fixed_fusion,0.7487359939510826,0.7122544143424436,0.5066728381347865,1136,,
CCLE,4,6,adaptive_fusion,0.7465419448025595,0.7147441090841586,0.508759130844007,1136,0.3,0.6919828587105304
CCLE,4,7,imputer_only,0.7288792334385613,0.6545809036906635,0.4941758934281763,1136,,
CCLE,4,7,ridge_only,0.7305603883002849,0.6536276211709524,0.4934602144432933,1136,,
CCLE,4,7,fixed_fusion,0.7338138800163412,0.6492532575254883,0.4891552721868797,1136,,
CCLE,4,7,adaptive_fusion,0.7328260701490026,0.6507164380857182,0.49063279123794,1136,0.2,0.6902066055209821
CCLE,4,8,imputer_only,0.7574057048903905,0.6560240868095529,0.4825074703541349,1136,,
CCLE,4,8,ridge_only,0.7506417245915028,0.6642085559198168,0.4884803565966111,1136,,
CCLE,4,8,fixed_fusion,0.7582123404342108,0.6546281169803903,0.4807775550331095,1136,,
CCLE,4,8,adaptive_fusion,0.7561803964517089,0.6571576880035277,0.4827527214305083,1136,0.3,0.6831490244653372
CCLE,4,9,imputer_only,0.7068778221500435,0.701198681639829,0.5129023185364646,1136,,
CCLE,4,9,ridge_only,0.700820587534894,0.7086931498386143,0.5130521852705909,1136,,
CCLE,4,9,fixed_fusion,0.7083037245063081,0.6997159375125362,0.5078183520977996,1136,,
CCLE,4,9,adaptive_fusion,0.7063442293416865,0.7020636259785603,0.5083008600426773,1136,0.3,0.6909212700206925
CCLE,4,10,imputer_only,0.6999059914703943,0.720436239832788,0.5058594584814939,1136,,
CCLE,4,10,ridge_only,0.7078014264002851,0.7122078294001678,0.5043991023716264,1136,,
CCLE,4,10,fixed_fusion,0.7079523593167425,0.711909265551435,0.5002659802818451,1136,,
CCLE,4,10,adaptive_fusion,0.7085812604321223,0.7112585615285325,0.5002413194140669,1136,0.4,0.7083723723110845
CCLE,5,1,imputer_only,0.7267273657481025,0.7044736697762717,0.5061738346724103,1136,,
CCLE,5,1,ridge_only,0.7210390299174028,0.7114013226688604,0.5176685308028617,1136,,
CCLE,5,1,fixed_fusion,0.7281475005752485,0.702995248540801,0.5085425295602478,1136,,
CCLE,5,1,adaptive_fusion,0.726294840271175,0.7051820214211287,0.5112759388047264,1136,0.3,0.6998243618003511
CCLE,5,2,imputer_only,0.714905601412848,0.700069956130583,0.4998110866510077,1136,,
CCLE,5,2,ridge_only,0.7085897549964768,0.7065013426072942,0.5113071488127824,1136,,
CCLE,5,2,fixed_fusion,0.7161269467295273,0.6978688986051602,0.5015727591257992,1136,,
CCLE,5,2,adaptive_fusion,0.7141603959278456,0.7000330313208943,0.5045068874087647,1136,0.3,0.6888367335961172
CCLE,5,3,imputer_only,0.7506007023327598,0.6540494323256267,0.4720993483493196,1136,,
CCLE,5,3,ridge_only,0.7505961843980695,0.6544182308950045,0.476129207682622,1136,,
CCLE,5,3,fixed_fusion,0.7548292633048868,0.6492487576417408,0.4699483063538447,1136,,
CCLE,5,3,adaptive_fusion,0.7546423891801219,0.6494860434273276,0.4703854081019247,1136,0.4,0.6893986332998041
CCLE,5,4,imputer_only,0.7223032064053578,0.7030924849340291,0.5149884503821532,1136,,
CCLE,5,4,ridge_only,0.7108415951580043,0.714229982777459,0.5225718098181844,1136,,
CCLE,5,4,fixed_fusion,0.7215212006722698,0.7036714991319791,0.5146695693420299,1136,,
CCLE,5,4,adaptive_fusion,0.7184170050855829,0.7067129321920808,0.5169511165524813,1136,0.3,0.6943009771826739
CCLE,5,5,imputer_only,0.7367624836440096,0.6898476943038883,0.5004507757039007,1136,,
CCLE,5,5,ridge_only,0.7334809511353612,0.6936949627072196,0.5059989926930171,1136,,
CCLE,5,5,fixed_fusion,0.7396478570984766,0.6865274626495159,0.4974811086478926,1136,,
CCLE,5,5,adaptive_fusion,0.738244396223637,0.6881435463794314,0.4997470249065091,1136,0.3,0.6943520091506138
CCLE,5,6,imputer_only,0.7102002768670591,0.6784528933154726,0.4965986251755938,1136,,
CCLE,5,6,ridge_only,0.7046298418965514,0.6845687535192929,0.5023961946710802,1136,,
CCLE,5,6,fixed_fusion,0.7123888944882171,0.6753134611453023,0.4937166973290465,1136,,
CCLE,5,6,adaptive_fusion,0.7104646202731648,0.6775414198955431,0.4960890763883891,1136,0.3,0.6923955265155465
CCLE,5,7,imputer_only,0.727518878625226,0.6856444895335813,0.508461173280293,1136,,
CCLE,5,7,ridge_only,0.7256536657339309,0.6877984088199295,0.5118708485076663,1136,,
CCLE,5,7,fixed_fusion,0.7311149928409062,0.6814472128066417,0.5055519508302021,1136,,
CCLE,5,7,adaptive_fusion,0.7300043333682885,0.6827274068672843,0.5071213450549256,1136,0.3,0.6935067023835615
CCLE,5,8,imputer_only,0.7371581638421186,0.6542239977472306,0.4844848094486531,1136,,
CCLE,5,8,ridge_only,0.7452088553936455,0.6453990143843327,0.4830628117966805,1136,,
CCLE,5,8,fixed_fusion,0.7458428005017257,0.6444557249795535,0.4786507047647831,1136,,
CCLE,5,8,adaptive_fusion,0.7466963637559373,0.643538309518246,0.4793219135722275,1136,0.3,0.6900993434475626
CCLE,5,9,imputer_only,0.7293681777640293,0.703062919035355,0.4978200636567789,1136,,
CCLE,5,9,ridge_only,0.7197621715615308,0.7134585182146913,0.5039125443558155,1136,,
CCLE,5,9,fixed_fusion,0.7300219363122545,0.702203717398745,0.4950041547662563,1136,,
CCLE,5,9,adaptive_fusion,0.7271850363091257,0.705270451681185,0.4972222939052276,1136,0.3,0.6904793602551207
CCLE,5,10,imputer_only,0.7151452005846675,0.6986426693650466,0.5130529545420128,1136,,
CCLE,5,10,ridge_only,0.7087749837743808,0.7044864346391128,0.5184644016608986,1136,,
CCLE,5,10,fixed_fusion,0.7169547661720493,0.6958216736784694,0.5110230084242624,1136,,
CCLE,5,10,adaptive_fusion,0.714899229848051,0.6979205412424097,0.513148230327331,1136,0.3,0.6943750896703558
CCLE,6,1,imputer_only,0.7169544375740056,0.6814739020631052,0.5050930384192763,1136,,
CCLE,6,1,ridge_only,0.7112123894617203,0.6874586654577352,0.5066022691138591,1136,,
CCLE,6,1,fixed_fusion,0.7190265762341751,0.678788406248971,0.5001722681789059,1136,,
CCLE,6,1,adaptive_fusion,0.717079741833189,0.68090538455334,0.5012744804071574,1136,0.3,0.6977651329914517
