dataset,seed,fold,selected_alpha,inner_pcc
ERKAUC30,8,6,0.3,0.6108548341719746
ERKAUC30,8,7,0.3,0.6193225147595056
ERKAUC30,8,8,0.3,0.6123618055747386
ERKAUC30,8,9,0.3,0.623326674161649
ERKAUC30,8,10,0.3,0.623029280860085
ERKAUC30,9,1,0.3,0.6236092230416818
ERKAUC30,9,2,0.3,0.6179050244562017
ERKAUC30,9,3,0.3,0.610078265824432
ERKAUC30,9,4,0.3,0.6091929656389012
ERKAUC30,9,5,0.3,0.6069094387026321
ERKAUC30,9,6,0.3,0.6278573283837178
ERKAUC30,9,7,0.3,0.6134803051282978
ERKAUC30,9,8,0.3,0.6178848670164385
ERKAUC30,9,9,0.3,0.6109793410411382
ERKAUC30,9,10,0.2,0.6176592776879197
ERKIC50,0,1,0.2,0.6022493494873382
ERKIC50,0,2,0.2,0.6058702053637344
ERKIC50,0,3,0.2,0.6017834200859934
ERKIC50,0,4,0.2,0.5937952098511657
ERKIC50,0,5,0.2,0.6039855836198884
ERKIC50,0,6,0.2,0.6011853107381541
ERKIC50,0,7,0.2,0.6078969521137645
ERKIC50,0,8,0.2,0.6037736973384187
ERKIC50,0,9,0.2,0.6035455594688297
ERKIC50,0,10,0.2,0.601269086575582
ERKIC50,1,1,0.2,0.6071563170437899
ERKIC50,1,2,0.2,0.5978510334005962
ERKIC50,1,3,0.2,0.6029709583858971
ERKIC50,1,4,0.2,0.5996514133869393
ERKIC50,1,5,0.2,0.6109305217063123
ERKIC50,1,6,0.2,0.6105003087906203
ERKIC50,1,7,0.2,0.595024152561298
ERKIC50,1,8,0.2,0.6042306067758266
ERKIC50,1,9,0.2,0.6090140893702799
ERKIC50,1,10,0.2,0.5992609970822782
ERKIC50,2,1,0.2,0.6038610288088526
ERKIC50,2,2,0.2,0.5984340137485569
ERKIC50,2,3,0.2,0.610315181950748
ERKIC50,2,4,0.2,0.6032964769828872
ERKIC50,2,5,0.2,0.6174431435424146
ERKIC50,2,6,0.2,0.598740891078995
ERKIC50,2,7,0.2,0.604052236344157
ERKIC50,2,8,0.3,0.6038367259351728
ERKIC50,2,9,0.3,0.6070200554337742
ERKIC50,2,10,0.2,0.5950419811877744
ERKIC50,3,1,0.2,0.5970526453507353
ERKIC50,3,2,0.2,0.5937804308827697
ERKIC50,3,3,0.2,0.6081612542761975
ERKIC50,3,4,0.2,0.6029977033774392
ERKIC50,3,5,0.2,0.6094741699986681
ERKIC50,3,6,0.2,0.5986318332792028
ERKIC50,3,7,0.2,0.606524630128362
ERKIC50,3,8,0.2,0.5960408846622036
ERKIC50,3,9,0.2,0.6037169330621059
ERKIC50,3,10,0.2,0.6092447510458229
ERKIC50,4,1,0.3,0.6038526906750328
ERKIC50,4,2,0.2,0.6020740355247665
ERKIC50,4,3,0.2,0.6026149291303429
ERKIC50,4,4,0.2,0.6070866662611489
ERKIC50,4,5,0.2,0.6079545288411772
ERKIC50,4,6,0.2,0.6007082372394855
ERKIC50,4,7,0.3,0.590225505633097
ERKIC50,4,8,0.3,0.6083756179862388
ERKIC50,4,9,0.2,0.6050013109415342
ERKIC50,4,10,0.2,0.5982824114121815
ERKIC50,5,1,0.3,0.6083352959484365
ERKIC50,5,2,0.2,0.5945484787382406
ERKIC50,5,3,0.2,0.6086183264521617
ERKIC50,5,4,0.2,0.6071691724459001
ERKIC50,5,5,0.2,0.5973292317612205
ERKIC50,5,6,0.2,0.606990318021215
ERKIC50,5,7,0.2,0.6000755458044748
ERKIC50,5,8,0.2,0.5997544915443699
ERKIC50,5,9,0.2,0.5978758550151404
ERKIC50,5,10,0.2,0.5961071118713174
ERKIC50,6,1,0.2,0.5992067586064437
ERKIC50,6,2,0.2,0.6070262417271219
ERKIC50,6,3,0.2,0.5948131425526124
ERKIC50,6,4,0.2,0.6053765850193725
ERKIC50,6,5,0.2,0.611095292220827
ERKIC50,6,6,0.2,0.6045505490102161
ERKIC50,6,7,0.2,0.594301488225048
ERKIC50,6,8,0.2,0.6031871072255687
ERKIC50,6,9,0.2,0.5944857826308693
ERKIC50,6,10,0.2,0.6130596924307266
ERKIC50,7,1,0.2,0.6062402637414313
ERKIC50,7,2,0.2,0.6101565024652539
ERKIC50,7,3,0.2,0.6040785017320169
ERKIC50,7,4,0.2,0.595525847377196
ERKIC50,7,5,0.2,0.6132086776703028
ERKIC50,7,6,0.2,0.6118949824055429
ERKIC50,7,7,0.2,0.5989829690300379
ERKIC50,7,8,0.2,0.6111157197123541
ERKIC50,7,9,0.2,0.5952508416396871
ERKIC50,7,10,0.2,0.603297416917737
ERKIC50,8,1,0.2,0.603393986382307
ERKIC50,8,2,0.2,0.6045085585191047
ERKIC50,8,3,0.2,0.6014086651893019
ERKIC50,8,4,0.2,0.604989100440266
ERKIC50,8,5,0.2,0.6023535135338289
ERKIC50,8,6,0.2,0.601831891998913
ERKIC50,8,7,0.2,0.6104242606459506
ERKIC50,8,8,0.2,0.6134809441205661
ERKIC50,8,9,0.2,0.6092526617046035
ERKIC50,8,10,0.2,0.6010002508681478
ERKIC50,9,1,0.3,0.6098527278731882
ERKIC50,9,2,0.2,0.6059641482975453
ERKIC50,9,3,0.2,0.6049154688614513
ERKIC50,9,4,0.2,0.59986922354335
ERKIC50,9,5,0.2,0.6068790030024941
ERKIC50,9,6,0.2,0.6004360772168813
ERKIC50,9,7,0.2,0.603835480949483
ERKIC50,9,8,0.2,0.5871923627205484
ERKIC50,9,9,0.2,0.6031139653211912
ERKIC50,9,10,0.2,0.6094016605690609
PI3KAUC,0,1,0.2,0.5694729635159874
PI3KAUC,0,2,0.2,0.5687164359721966
PI3KAUC,0,3,0.2,0.5641657589399249
PI3KAUC,0,4,0.2,0.5590309293683473
PI3KAUC,0,5,0.3,0.5742087693582588
PI3KAUC,0,6,0.2,0.5684546071919625
PI3KAUC,0,7,0.2,0.5770268197073681
PI3KAUC,0,8,0.2,0.572163819586234
PI3KAUC,0,9,0.2,0.5599438803351979
PI3KAUC,0,10,0.2,0.5746179031812396
PI3KAUC,1,1,0.2,0.5805806494704399
PI3KAUC,1,2,0.2,0.5626849144795737
PI3KAUC,1,3,0.2,0.5729941584705192
PI3KAUC,1,4,0.2,0.5775758348347264
PI3KAUC,1,5,0.3,0.5749805820256353
PI3KAUC,1,6,0.2,0.5809669107013113
PI3KAUC,1,7,0.2,0.5734474720321675
PI3KAUC,1,8,0.2,0.570633816808281
PI3KAUC,1,9,0.2,0.5650211396538688
PI3KAUC,1,10,0.2,0.5687477018783065
PI3KAUC,2,1,0.2,0.5679300182017661
PI3KAUC,2,2,0.3,0.5734851683890084
PI3KAUC,2,3,0.2,0.5597886389787756
