dataset,seed,fold,alpha,mean_pcc,mean_rmse,mean_mae,selected
CCLE,0,8,0.7000000000000001,0.6897177927556173,0.7348992333602525,0.5404681383293469,False
CCLE,0,8,0.8,0.6854245151263451,0.7409767693177745,0.545292233528721,False
CCLE,0,8,0.9,0.6803723604542045,0.7482567362275485,0.5509995694046741,False
CCLE,0,8,1.0,0.6746453980835029,0.7567017154770427,0.5576563757793445,False
CCLE,0,9,0.0,0.6857355692776551,0.7263317355208664,0.5327416651241281,False
CCLE,0,9,0.1,0.6890185598556589,0.7231147540356393,0.5299207331783622,False
CCLE,0,9,0.2,0.6911000284167315,0.7212216085975147,0.5281762257137236,False
CCLE,0,9,0.3,0.6919947262321854,0.720662498493462,0.5276820204545275,True
CCLE,0,9,0.4,0.6917348440578972,0.7214402454825718,0.5285350854985211,False
CCLE,0,9,0.5,0.6903683201645273,0.7235502230642001,0.5305397330808526,False
CCLE,0,9,0.6000000000000001,0.6879566205524037,0.7269804926000152,0.5338264167369305,False
CCLE,0,9,0.7000000000000001,0.6845721636834597,0.7317121370767018,0.5383280695716012,False
CCLE,0,9,0.8,0.6802955704074941,0.7377197710922921,0.5438673609822062,False
CCLE,0,9,0.9,0.6752129095667694,0.7449721958681599,0.550373030906738,False
CCLE,0,9,1.0,0.669413085153219,0.7534331616304699,0.5578194280126394,False
CCLE,0,10,0.0,0.6815942955065372,0.7251184006841539,0.5306123105499276,False
CCLE,0,10,0.1,0.6842844315093347,0.7226221221819429,0.5286426923917926,False
CCLE,0,10,0.2,0.6858182665639938,0.7213671086844436,0.5278076193700862,False
CCLE,0,10,0.3,0.6862191754801271,0.7213599370933125,0.5280828463268066,True
CCLE,0,10,0.4,0.6855263091045012,0.7226006709290042,0.5294408713116396,False
CCLE,0,10,0.5,0.6837926870840942,0.7250828577259607,0.5318628445149614,False
CCLE,0,10,0.6000000000000001,0.6810828825415898,0.7287936975628165,0.5352484340571417,False
CCLE,0,10,0.7000000000000001,0.6774704691652138,0.7337143724170934,0.5395665122063719,False
CCLE,0,10,0.8,0.6730353982161075,0.7398205166305648,0.5447638602723769,False
CCLE,0,10,0.9,0.6678614543792127,0.7470828014814459,0.5508418813954008,False
CCLE,0,10,1.0,0.6620339101451067,0.7554676023049434,0.5576850659101137,False
CCLE,1,1,0.0,0.695765536452372,0.7250207557666682,0.5332952036098784,False
CCLE,1,1,0.1,0.6992475831685574,0.7214340102307915,0.5304479404075926,False
CCLE,1,1,0.2,0.7015192190513865,0.719205542533072,0.5285740475633921,False
CCLE,1,1,0.3,0.7025947999720471,0.7183477931206372,0.5277818498683691,True
CCLE,1,1,0.4,0.7025066212248097,0.7188651488146388,0.5282313130745927,False
CCLE,1,1,0.5,0.7013030711292172,0.7207538242016931,0.5298718217020839,False
CCLE,1,1,0.6000000000000001,0.6990462435546086,0.7240019910381159,0.5326587138064086,False
CCLE,1,1,0.7000000000000001,0.6958092056613664,0.7285901457361252,0.5365402526218046,False
CCLE,1,1,0.8,0.6916731200604881,0.7344916886079764,0.5414229798417189,False
CCLE,1,1,0.9,0.6867244028404219,0.741673675490452,0.547264779739453,False
CCLE,1,1,1.0,0.6810520664732783,0.7500976940108599,0.5541270505281138,False
CCLE,1,2,0.0,0.686677601980071,0.7302426975519571,0.5346466407952449,False
CCLE,1,2,0.1,0.6895074304286192,0.7274563240844196,0.5321181823603515,False
CCLE,1,2,0.2,0.6913093557182151,0.7258289519911385,0.5305653723769039,False
CCLE,1,2,0.3,0.6920981613202564,0.7253682703765069,0.530181628949757,True
CCLE,1,2,0.4,0.6919012528893994,0.7260763417318582,0.5308778977523183,False
CCLE,1,2,0.5,0.6907574025728909,0.7279495553538997,0.5326200052526021,False
CCLE,1,2,0.6000000000000001,0.6887151820834487,0.7309787185079263,0.5351868058326945,False
CCLE,1,2,0.7000000000000001,0.6858311895054217,0.7351492800274018,0.5386848183534848,False
CCLE,1,2,0.8,0.6821681765838677,0.7404416738121826,0.5431006693086408,False
CCLE,1,2,0.9,0.6777931758768503,0.7468317637046679,0.5484338797684053,False
CCLE,1,2,1.0,0.672775712868496,0.7542913669927536,0.5546232373349647,False
CCLE,1,3,0.0,0.689607646970438,0.7217388551189106,0.533410208672248,False
CCLE,1,3,0.1,0.6921217441066316,0.7192629231538673,0.5313141787013959,False
CCLE,1,3,0.2,0.6934687116099125,0.7180785302008474,0.5303377703011217,False
CCLE,1,3,0.3,0.6936657521696089,0.7181912581062688,0.5303554163058715,True
CCLE,1,3,0.4,0.6927466752277842,0.7195993159129502,0.531549149677254,False
CCLE,1,3,0.5,0.6907601561682214,0.7222936238535459,0.5337850877926316,False
CCLE,1,3,0.6000000000000001,0.6877675136159291,0.7262581090504798,0.5369878562593049,False
