dataset,method,metric,mean,sd,ci_low,ci_high,n
ERKIC50,fixed_fusion,pcc,0.6501350482359847,0.004410902586911,0.646979678608796,0.6532904178631733,10
ERKIC50,fixed_fusion,rmse,0.7618612555226323,0.00416157878294406,0.7588842414004388,0.7648382696448258,10
ERKIC50,fixed_fusion,mae,0.5763934805706508,0.002098648699149656,0.5748921977304706,0.5778947634108309,10
ERKIC50,imputer_only,pcc,0.6416697028391025,0.0047121214169556225,0.6382988542416278,0.6450405514365772,10
ERKIC50,imputer_only,rmse,0.7717694343001025,0.004534352671040942,0.7685257538026866,0.7750131147975183,10
ERKIC50,imputer_only,mae,0.5839496240834607,0.0020803142059036325,0.5824614569496419,0.5854377912172796,10
ERKIC50,ridge_only,pcc,0.6433282937506638,0.004298809535427619,0.6402531106619671,0.6464034768393605,10
ERKIC50,ridge_only,rmse,0.7680746197848559,0.0040006923006019705,0.7652126969188859,0.7709365426508259,10
ERKIC50,ridge_only,mae,0.5813709336180345,0.002081051189757685,0.5798822392777261,0.5828596279583429,10
PI3KAUC,adaptive_fusion,pcc,0.6161692157624991,0.003769575427366105,0.6134726239478888,0.6188658075771093,10
PI3KAUC,adaptive_fusion,rmse,0.7905172481893177,0.0033460430645057566,0.7881236331753891,0.7929108632032462,10
PI3KAUC,adaptive_fusion,mae,0.5555354170985833,0.002064750542974963,0.554058383538523,0.5570124506586437,10
PI3KAUC,fixed_fusion,pcc,0.6158219528610609,0.004097354360242915,0.6128908821231797,0.6187530235989421,10
PI3KAUC,fixed_fusion,rmse,0.7919949535858948,0.0036811977356069644,0.7893615833634197,0.7946283238083699,10
PI3KAUC,fixed_fusion,mae,0.5564145553548812,0.001965784340216084,0.5550083179514238,0.5578207927583385,10
PI3KAUC,imputer_only,pcc,0.5986035042085367,0.0053313298096821435,0.594789700611079,0.6024173078059943,10
PI3KAUC,imputer_only,rmse,0.8132033999687236,0.005145914612987702,0.8095222344126966,0.8168845655247506,10
PI3KAUC,imputer_only,mae,0.5730462922097094,0.002194332242871734,0.5714765614857382,0.5746160229336805,10
PI3KAUC,ridge_only,pcc,0.6115765701048592,0.0035984343785815417,0.609002405221395,0.6141507349883234,10
PI3KAUC,ridge_only,rmse,0.7942737373432524,0.0031635475019866303,0.7920106717902841,0.7965368028962206,10
PI3KAUC,ridge_only,mae,0.558832575715891,0.002096258777961887,0.5573330025223372,0.5603321489094447,10
PI3KIC50,adaptive_fusion,pcc,0.6153693791465659,0.0032115311291622765,0.6130719881745231,0.6176667701186086,10
PI3KIC50,adaptive_fusion,rmse,0.7909711218636163,0.002644037829316084,0.7890796911427206,0.792862552584512,10
PI3KIC50,adaptive_fusion,mae,0.5604223777987609,0.0018387301182525616,0.5591070295104202,0.5617377260871016,10
PI3KIC50,fixed_fusion,pcc,0.6149661473157674,0.0031923672878571277,0.6126824653299475,0.6172498293015872,10
PI3KIC50,fixed_fusion,rmse,0.7925559584575397,0.0027492633245845654,0.7905892539519176,0.7945226629631618,10
PI3KIC50,fixed_fusion,mae,0.5616411153462509,0.0019609466070238495,0.560238338648642,0.5630438920438599,10
PI3KIC50,imputer_only,pcc,0.5971887766117169,0.003217090926822757,0.5948874084000217,0.599490144823412,10
PI3KIC50,imputer_only,rmse,0.8144490852688083,0.0031864658701167814,0.8121696249029241,0.8167285456346925,10
