dataset,seed,prediction_pearson,prediction_spearman,error_pearson,error_spearman,imputer_better_share,ridge_better_share,tie_share,fusion_delta_pcc_vs_imputer,fusion_delta_pcc_vs_ridge,fusion_rmse_gain_vs_imputer,fusion_rmse_gain_vs_ridge,fusion_mae_gain_vs_imputer,fusion_mae_gain_vs_ridge,n_test
PI3KAUC,1,0.9309155425508209,0.9193058798697566,0.9430499264824246,0.9219608465003339,0.48758532743230065,0.5124146725676993,0.0,0.01300527210921476,0.008496270434894315,0.01654658246781615,0.006326821107471514,0.014368579907113155,0.00333087397807319,13331
PI3KAUC,2,0.929061824939172,0.9193048414693591,0.9422383621526124,0.91946820435928,0.4841347235766259,0.5158652764233741,0.0,0.018230193024237118,0.0029258009033978905,0.022778699023367488,0.0007780196467667144,0.0172179871236392,0.001586708577343665,13331
PI3KAUC,3,0.9244311004601871,0.9163840428691524,0.9374753636135414,0.9164097256528677,0.48766034055959795,0.512339659440402,0.0,0.021432233614424145,0.001308107917240342,0.025671464375902175,-0.0003817880904416482,0.01745090617185807,0.002227202959563801,13331
PI3KAUC,4,0.9300095029320746,0.9172828328356168,0.9424047334448743,0.9186952018658568,0.47888380466581654,0.5211161953341835,0.0,0.019174116679647746,0.0018980308670546453,0.023154687410337105,0.0001437432399366001,0.01834965332768368,0.0011702112927567399,13331
PI3KAUC,5,0.9292602687121895,0.9187525081425352,0.9407603472907379,0.918137873408614,0.49771209961743307,0.502287900382567,0.0,0.016162102701049452,0.005501462724810113,0.02067476454219319,0.0032176294897490187,0.015787574321577402,0.003482387591851488,13331
PI3KAUC,6,0.9278323354479451,0.9183831821298609,0.9407475235398274,0.9182402281262007,0.4872852749231115,0.5127147250768884,0.0,0.01626081868475826,0.005683437118464529,0.02053277498747952,0.0035179894115143773,0.016239533915677673,0.0030351406721542684,13331
PI3KAUC,7,0.9304318640981155,0.92070978344326,0.9438874029312141,0.9208243433877571,0.4834596054309504,0.5164653814417524,7.501312729727703e-05,0.01780759192047987,0.003038039383684077,0.021659093852332667,0.0011818350124610522,0.017325771677721757,0.0017662097978171643,13331
PI3KAUC,8,0.9294986396842841,0.9182376324740881,0.9424171300849467,0.9192435162652454,0.4809841722301403,0.5190158277698598,0.0,0.01621863620968811,0.005237278792943001,0.02006240761706335,0.0032786846516497103,0.016158897979928866,0.0029691690652760006,13331
PI3KAUC,9,0.9308080078777144,0.9189391778549866,0.9432661425470786,0.9185791332725805,0.4859350386317606,0.5140649613682394,0.0,0.016186293934192797,0.004968191670140842,0.019802589253597458,0.003101496286329608,0.016145098910457012,0.003478044680143788,13331
PI3KIC50,0,0.9301747179967932,0.9185960306422805,0.9424223854123382,0.9194094450089049,0.484526459395419,0.5154735406045811,0.0,0.016123407934412914,0.005248030358133371,0.019903707762100153,0.00334967966866373,0.016606632244031583,0.0026866627687135436,13927
PI3KIC50,1,0.9257759477320076,0.9177920743890821,0.9381050633812916,0.9190493663308188,0.48330580886048685,0.5166941911395132,0.0,0.020539529343228224,0.001844824683128632,0.02501175196587402,7.137962078740401e-06,0.01944067075597411,0.00023289927413261413,13927
PI3KIC50,2,0.9260068358075673,0.91648860730519,0.9397740913508086,0.9162663770482803,0.48057729590005027,0.5194227040999497,0.0,0.01757056744662666,0.004829535748537839,0.021824974743601122,0.0025695507772989234,0.01872487761541819,0.001437417679394426,13927
PI3KIC50,3,0.926774769063398,0.9181112419770776,0.9418105214102582,0.9205263149986554,0.48230056724348386,0.5176994327565161,0.0,0.01721463834375192,0.004865827734933825,0.02087554073367537,0.0027600792041179156,0.016243432197547203,0.00296055116603966,13927
PI3KIC50,4,0.9281419714603967,0.9195341094533135,0.9409535222419623,0.9197580684321337,0.4831622029152007,0.5168377970847993,0.0,0.018404039362385438,0.003351901036558247,0.022410767067978732,0.0014774241575202796,0.017636134169092044,0.0015594220982770857,13927
PI3KIC50,5,0.9240720535089555,0.9158885061269462,0.9387401715982595,0.9168683685220638,0.48273138507934227,0.5172686149206577,0.0,0.01757695581434715,0.005387290559832558,0.021731592634204544,0.003166322504174257,0.016842630036199124,0.0029584424725813685,13927
PI3KIC50,6,0.9295299155923538,0.9180129900909616,0.9426429203395287,0.9206450120418087,0.48524448912184964,0.5147555108781503,0.0,0.017623306214155754,0.003573620072151895,0.02174428943019946,0.0015642914015860931,0.01640947137158777,0.00270602246649454,13927
PI3KIC50,7,0.9264976642419516,0.9202174698004552,0.9399771186721451,0.9225494222605846,0.48574710993035114,0.5142528900696489,0.0,0.017607274775684356,0.00451410426594967,0.02225597955626213,0.0021455074423689657,0.01555265786872273,0.0027954628083743938,13927
PI3KIC50,8,0.9299485497666045,0.9175119658633341,0.9421774548417527,0.9209203553063802,0.47705895024053996,0.5229410497594601,0.0,0.018058477398999906,0.00294022651014747,0.02271186992690577,0.0008115789439826493,0.018786164941878125,-0.00019379552607134976,13927
PI3KIC50,9,0.9300624435502898,0.9192135413625732,0.9428385433445544,0.9231188814766412,0.481367128599124,0.518632871400876,0.0,0.017055510406913332,0.004328696458037351,0.020460794291883966,0.0025562401035884585,0.01661617130585058,0.0016328499430030563,13927
