dataset,seed,quartile,method,pcc,rmse,mae,mean_disagreement,n_test
ERKAUC30,0,1,fixed_fusion,0.693635239559694,0.6465303652141275,0.4422544484468532,0.029996971096753807,3635
ERKAUC30,0,2,imputer_only,0.6757877415600818,0.6752050662296906,0.4729508430444011,0.09575997821945158,3634
ERKAUC30,0,2,ridge_only,0.6761487848490363,0.6746858217863199,0.47240537392382626,0.09575997821945158,3634
ERKAUC30,0,2,fixed_fusion,0.6778272084758423,0.6731618516800365,0.4707353894950719,0.09575997821945158,3634
ERKAUC30,0,3,imputer_only,0.653970699967854,0.7040621947090892,0.4918281278775262,0.18952006084903397,3635
ERKAUC30,0,3,ridge_only,0.6532886886792846,0.7022857387460475,0.4856315205987433,0.18952006084903397,3635
ERKAUC30,0,3,fixed_fusion,0.6599115942770202,0.6965387181979603,0.48140694108358734,0.18952006084903397,3635
ERKAUC30,0,4,imputer_only,0.6185897113006911,0.9933021136227853,0.690280430249426,0.4656589289665341,3634
ERKAUC30,0,4,ridge_only,0.638811884027969,0.9329225317681443,0.6277616093327058,0.4656589289665341,3634
ERKAUC30,0,4,fixed_fusion,0.6502253317888755,0.9266374551170561,0.6249075007882998,0.4656589289665341,3634
ERKAUC30,1,1,imputer_only,0.6770210626136139,0.6894940720973921,0.45761248416839323,0.02955822837929737,3635
ERKAUC30,1,1,ridge_only,0.6762642528354811,0.6901873909118635,0.4577907277100452,0.02955822837929737,3635
ERKAUC30,1,1,fixed_fusion,0.6768706615293935,0.689626610425932,0.4574421845360158,0.02955822837929737,3635
ERKAUC30,1,2,imputer_only,0.6866172757814641,0.6437179053751719,0.4477243517069571,0.0957687251389244,3634
ERKAUC30,1,2,ridge_only,0.6878283009437333,0.6423541480646849,0.4465346702911874,0.0957687251389244,3634
ERKAUC30,1,2,fixed_fusion,0.6890471585414497,0.6411632291797912,0.44500638938254056,0.0957687251389244,3634
ERKAUC30,1,3,imputer_only,0.674466558219524,0.6984945160148394,0.5048073942973248,0.18745290954088717,3635
ERKAUC30,1,3,ridge_only,0.6747560643713838,0.6968153982306587,0.5022712034604423,0.18745290954088717,3635
ERKAUC30,1,3,fixed_fusion,0.680757317053278,0.6911262165120998,0.49681324075073263,0.18745290954088717,3635
ERKAUC30,1,4,imputer_only,0.6010003405449708,1.0010734059822355,0.6921577301913929,0.46143708148846646,3634
ERKAUC30,1,4,ridge_only,0.6176831581520439,0.944785497528786,0.6358899891493872,0.46143708148846646,3634
ERKAUC30,1,4,fixed_fusion,0.6313776043294778,0.936948674251446,0.6315495869853156,0.46143708148846646,3634
ERKAUC30,2,1,imputer_only,0.687588242957378,0.6598418757672517,0.447117201639939,0.02988959904798554,3635
ERKAUC30,2,1,ridge_only,0.6868107736374167,0.6605470392626568,0.4476920677507541,0.02988959904798554,3635
ERKAUC30,2,1,fixed_fusion,0.6874341219600155,0.6599680677079053,0.4471034075294634,0.02988959904798554,3635
ERKAUC30,2,2,imputer_only,0.6479023288444553,0.7003141730009578,0.47130250942366797,0.0945542480036192,3634
ERKAUC30,2,2,ridge_only,0.6473850026182848,0.7005049905317245,0.47358881253512713,0.0945542480036192,3634
ERKAUC30,2,2,fixed_fusion,0.6494218030022513,0.6987327297812403,0.47054061049517437,0.0945542480036192,3634
ERKAUC30,2,3,imputer_only,0.6666299554047276,0.7101265003245826,0.49335935261921043,0.18702532231098007,3635
ERKAUC30,2,3,ridge_only,0.6657857002632155,0.7096241692417211,0.49202593901573183,0.18702532231098007,3635
ERKAUC30,2,3,fixed_fusion,0.672198717744321,0.7034820710223244,0.4852256195422741,0.18702532231098007,3635
ERKAUC30,2,4,imputer_only,0.6147506239619125,0.9752640129425285,0.6845967311394925,0.45760760150888774,3634
