dataset,metric,mean,sd,ci_low,ci_high,n
ERKIC50,fusion_rmse_gain_vs_imputer,0.009908178777470134,0.0008737426014565963,0.00928314097346194,0.010533216581478327,10
ERKIC50,fusion_rmse_gain_vs_ridge,0.006213364262223531,0.0008488496374704299,0.0056061338119133605,0.0068205947125337014,10
ERKIC50,fusion_mae_gain_vs_imputer,0.007556143512809965,0.00041882582653962684,0.007256533565388568,0.007855753460231362,10
ERKIC50,fusion_mae_gain_vs_ridge,0.00497745304738374,0.0005220770212960796,0.004603981644741768,0.005350924450025712,10
PI3KAUC,prediction_pearson,0.9292506518942625,0.0019298499079278468,0.9278701204351053,0.9306311833534197,10
PI3KAUC,prediction_spearman,0.918856375254346,0.0014471120048268427,0.9178211736879546,0.9198915768207375,10
PI3KAUC,error_pearson,0.9419821482284805,0.0019066016188613777,0.9406182475934595,0.9433460488635015,10
PI3KAUC,error_spearman,0.9192392131561542,0.0016145621589835153,0.9180842249655778,0.9203942013467306,10
PI3KAUC,imputer_better_share,0.48563498612257144,0.005156724378695955,0.48194608772599284,0.48932388451915004,10
PI3KAUC,ridge_better_share,0.5143575125646989,0.005153261717003387,0.5106710912070751,0.5180439339223226,10
PI3KAUC,tie_share,7.501312729727703e-06,2.37212336671546e-05,-9.467835592634457e-06,2.4470461052089865e-05,10
PI3KAUC,fusion_delta_pcc_vs_imputer,0.01721844865252411,0.0022370364647147697,0.015618169168542657,0.01881872813650556,10
PI3KAUC,fusion_delta_pcc_vs_ridge,0.004245382756201755,0.0021416015104399736,0.0027133733258334594,0.00577739218657005,10
PI3KAUC,fusion_rmse_gain_vs_imputer,0.021208446382828816,0.002406919938471692,0.019486639582682062,0.02293025318297557,10
PI3KAUC,fusion_rmse_gain_vs_ridge,0.0022787837573576054,0.0020000687493609668,0.0008480207650507754,0.0037095467496644353,10
PI3KAUC,fusion_mae_gain_vs_imputer,0.01663173685482817,0.0011209144098954622,0.01582988299068761,0.017433590718968734,10
PI3KAUC,fusion_mae_gain_vs_ridge,0.002418020361009676,0.0009505473169705821,0.0017380397733460825,0.0030980009486732693,10
PI3KIC50,prediction_pearson,0.9276984868720317,0.0021689140424479138,0.9261469392332715,0.9292500345107919,10
PI3KIC50,prediction_spearman,0.9181366537011213,0.0013311868183279593,0.9171843800174697,0.9190889273847729,10
PI3KIC50,error_pearson,0.9409441792592899,0.0017046855455764415,0.9397247206817233,0.9421636378368564,10
PI3KIC50,error_spearman,0.9199111611426272,0.0021793526183862895,0.9183521461964808,0.9214701760887736,10
PI3KIC50,imputer_better_share,0.4826021397285848,0.0025351861674161543,0.48078857679575754,0.48441570266141204,10
PI3KIC50,ridge_better_share,0.5173978602714151,0.0025351861674161613,0.5155842973385878,0.5192114232042424,10
PI3KIC50,tie_share,0.0,0.0,0.0,0.0,10
PI3KIC50,fusion_delta_pcc_vs_imputer,0.017777370704050565,0.001145532383640192,0.01695790620238027,0.01859683520572086,10
PI3KIC50,fusion_delta_pcc_vs_ridge,0.0040884057427410855,0.0011345025099984806,0.0032768315373525665,0.004899979948129605,10
PI3KIC50,fusion_rmse_gain_vs_imputer,0.021893126811268527,0.0014100241636834311,0.020884456288167152,0.0229017973343699,10
PI3KIC50,fusion_rmse_gain_vs_ridge,0.0020407812165380013,0.0010669149435562025,0.0012775562435629116,0.002804006189513091,10
PI3KIC50,fusion_mae_gain_vs_imputer,0.017285884250630146,0.0012932550006081968,0.016360745354741118,0.018211023146519175,10
PI3KIC50,fusion_mae_gain_vs_ridge,0.0018775935150939338,0.001148668906259463,0.0010558852803071537,0.002699301749880714,10
PRISM19Q4_independent,prediction_pearson,0.9379513297894377,7.808384853009874e-05,0.9378954719691456,0.9380071876097299,10
PRISM19Q4_independent,prediction_spearman,0.9422965525330899,5.443783216190263e-05,0.9422576100539058,0.9423354950122739,10
PRISM19Q4_independent,error_pearson,0.9386731107365669,6.552967886871934e-05,0.9386262336282409,0.9387199878448929,10
PRISM19Q4_independent,error_spearman,0.9149243078974422,8.904713214738624e-05,0.9148606074165021,0.9149880083783822,10
PRISM19Q4_independent,imputer_better_share,0.5336423841059601,0.002029091340129392,0.5321908596029175,0.5350939086090027,10
PRISM19Q4_independent,ridge_better_share,0.4663576158940398,0.002029091340129406,0.4649060913909971,0.4678091403970825,10
PRISM19Q4_independent,tie_share,0.0,0.0,0.0,0.0,10
PRISM19Q4_independent,fusion_delta_pcc_vs_imputer,-0.0013252758544607945,6.93502300791627e-05,-0.001374886020479804,-0.0012756656884417852,10
