dataset,mask_ratio,seed,method,pcc,rmse,mae,n_train,n_test
ERKAUC30,0.2,4,mfmr_base,0.606340541586583,0.7898954473474434,0.5397444061519088,11630,2908
ERKAUC30,0.2,5,original_mclrp,0.6069136530471512,0.9471938231026452,0.6638902716879945,11630,2908
ERKAUC30,0.2,5,mfmr_base,0.6162106939481492,0.7886516629928936,0.5398936707841824,11630,2908
ERKAUC30,0.2,6,original_mclrp,0.6090998126949727,0.922244565669773,0.6540419412631014,11630,2908
ERKAUC30,0.2,6,mfmr_base,0.6439923450285705,0.7434182082402976,0.5209882342340635,11630,2908
ERKAUC30,0.2,7,original_mclrp,0.6035158427778786,0.9826055018510608,0.6938873750349698,11630,2908
ERKAUC30,0.2,7,mfmr_base,0.6398644654605229,0.788033946642017,0.5305360764615707,11630,2908
ERKAUC30,0.2,8,original_mclrp,0.6080424740125214,0.9248696537388684,0.6663249436009787,11630,2908
ERKAUC30,0.2,8,mfmr_base,0.6287607310010674,0.7643764616144442,0.5365759340136549,11630,2908
ERKAUC30,0.2,9,original_mclrp,0.5901452383673603,0.9595135645731336,0.6712110957095428,11630,2908
ERKAUC30,0.2,9,mfmr_base,0.6185149105307646,0.7960834173168133,0.5369886926680499,11630,2908
ERKAUC30,0.25,0,original_mclrp,0.5620615823534071,0.9476225577522938,0.6843440012012144,10904,3634
ERKAUC30,0.25,0,mfmr_base,0.6144455126991302,0.7863284488234287,0.5497109259653628,10904,3634
ERKAUC30,0.25,1,original_mclrp,0.6044774389988032,0.9579380030186238,0.6798187140266924,10904,3634
ERKAUC30,0.25,1,mfmr_base,0.6478604563136104,0.7635529948164481,0.5407343658324515,10904,3634
ERKAUC30,0.25,2,original_mclrp,0.583026807849244,0.910393604700328,0.6467715893184837,10904,3634
ERKAUC30,0.25,2,mfmr_base,0.6129686522239042,0.7676728837518609,0.5351641827044651,10904,3634
ERKAUC30,0.25,3,original_mclrp,0.5592138591795472,0.9517656888008388,0.67292884345564,10904,3634
ERKAUC30,0.25,3,mfmr_base,0.6044295046494651,0.7990505792496365,0.5423390044211727,10904,3634
ERKAUC30,0.25,4,original_mclrp,0.5574927706127895,0.9518183772032566,0.6762123980761031,10904,3634
ERKAUC30,0.25,4,mfmr_base,0.6008143216554085,0.8050768069998633,0.5476338214264802,10904,3634
ERKAUC30,0.25,5,original_mclrp,0.5863744679498042,0.9461158806336336,0.6668217399231122,10904,3634
ERKAUC30,0.25,5,mfmr_base,0.5988437739025699,0.7976935594886303,0.5459014551877314,10904,3634
ERKAUC30,0.25,6,original_mclrp,0.5970328800227743,0.9464110030726834,0.6638476626771712,10904,3634
ERKAUC30,0.25,6,mfmr_base,0.6498417634192476,0.7529313086228416,0.5250169928292159,10904,3634
ERKAUC30,0.25,7,original_mclrp,0.5812978979109472,0.989282644949364,0.7021445520919024,10904,3634
ERKAUC30,0.25,7,mfmr_base,0.6295758129624159,0.7988662188794835,0.5431708242168314,10904,3634
ERKAUC30,0.25,8,original_mclrp,0.5884894721069966,0.921502193105575,0.6674964875176088,10904,3634
ERKAUC30,0.25,8,mfmr_base,0.6256176433430397,0.7641685731752265,0.5442847966277179,10904,3634
ERKAUC30,0.25,9,original_mclrp,0.5771816728754879,0.9555955622511484,0.6707255619712178,10904,3634
ERKAUC30,0.25,9,mfmr_base,0.6023290490752221,0.8046188705185922,0.5430446617641582,10904,3634
ERKAUC30,0.3,0,original_mclrp,0.5466593717428215,0.9545216584911732,0.6859864324273611,10177,4361
ERKAUC30,0.3,0,mfmr_base,0.605247396095007,0.7955782826613569,0.5557051115972215,10177,4361
ERKAUC30,0.3,1,original_mclrp,0.5652598748587071,0.976903071565146,0.6826538900194182,10177,4361
ERKAUC30,0.3,1,mfmr_base,0.6261309554883548,0.7900805488395612,0.5443903812268092,10177,4361
ERKAUC30,0.3,2,original_mclrp,0.5511683664279065,0.9537612860760142,0.6632475863865444,10177,4361
ERKAUC30,0.3,2,mfmr_base,0.589498691180918,0.8074770784088383,0.5496563792080383,10177,4361
ERKAUC30,0.3,3,original_mclrp,0.5360776337661146,0.9585300129144134,0.6745698171430603,10177,4361
ERKAUC30,0.3,3,mfmr_base,0.5970848356743633,0.8021617881230774,0.5422290780660043,10177,4361
ERKAUC30,0.3,4,original_mclrp,0.5349217894276105,0.9632388307884628,0.6773419188834885,10177,4361
ERKAUC30,0.3,4,mfmr_base,0.5875384945678435,0.8176830524536196,0.5571816703446297,10177,4361
ERKAUC30,0.3,5,original_mclrp,0.5556730621818533,0.939338055840385,0.6631922732029838,10177,4361
ERKAUC30,0.3,5,mfmr_base,0.589810268361053,0.7955512280012658,0.5440311708869944,10177,4361
ERKAUC30,0.3,6,original_mclrp,0.5676829700376802,0.9423811870497232,0.6595042017680975,10177,4361
ERKAUC30,0.3,6,mfmr_base,0.6268546928661368,0.7669979343716614,0.5297240758495532,10177,4361
ERKAUC30,0.3,7,original_mclrp,0.5568492470453166,0.982176588378306,0.6962317208152113,10177,4361
ERKAUC30,0.3,7,mfmr_base,0.6154866191068359,0.803449820283568,0.5454616669239337,10177,4361
ERKAUC30,0.3,8,original_mclrp,0.5604472376418688,0.9376863652674478,0.6707373648984643,10177,4361
ERKAUC30,0.3,8,mfmr_base,0.6119011577356294,0.7788053452898518,0.5449949617751649,10177,4361
ERKAUC30,0.3,9,original_mclrp,0.5616642151641394,0.9603567232996044,0.6749529575574134,10177,4361
ERKAUC30,0.3,9,mfmr_base,0.6052842852131352,0.7987987567161323,0.5385051880328828,10177,4361
ERKIC50,0.1,0,original_mclrp,0.5976608345565002,1.0001512869423557,0.7602887036594184,13899,1544
ERKIC50,0.1,0,mfmr_base,0.6392029293227952,0.8046002358354674,0.597639666247765,13899,1544
ERKIC50,0.1,1,original_mclrp,0.6211232266766615,0.9574995735654084,0.7428847966592879,13899,1544
ERKIC50,0.1,1,mfmr_base,0.6442702207770401,0.7702126736081089,0.5845383329509071,13899,1544
ERKIC50,0.1,2,original_mclrp,0.5736256070250695,0.9872696356436,0.7518446583194406,13899,1544
ERKIC50,0.1,2,mfmr_base,0.6300462318962924,0.8009829635653747,0.5928253699412804,13899,1544
ERKIC50,0.1,3,original_mclrp,0.6212196237911234,0.9475522107670892,0.7491811678093491,13899,1544
ERKIC50,0.1,3,mfmr_base,0.6535486803013778,0.7551750197535912,0.5802115983038072,13899,1544
ERKIC50,0.1,4,original_mclrp,0.5940480705229649,0.931604207470135,0.7323498981635453,13899,1544
ERKIC50,0.1,4,mfmr_base,0.6495814463443301,0.743770963713921,0.5619277161085894,13899,1544
ERKIC50,0.1,5,original_mclrp,0.6222334353375265,0.922581294316478,0.7358034705469911,13899,1544
ERKIC50,0.1,5,mfmr_base,0.642256443638661,0.7492057407053518,0.5689860662299756,13899,1544
ERKIC50,0.1,6,original_mclrp,0.6037497938610022,0.9695842591467246,0.740833393410398,13899,1544
ERKIC50,0.1,6,mfmr_base,0.653861496565485,0.7695815602819782,0.5776746539840713,13899,1544
ERKIC50,0.1,7,original_mclrp,0.6152476656735134,0.9511997826418724,0.7452926144325386,13899,1544
ERKIC50,0.1,7,mfmr_base,0.6620632707415746,0.7478202019261391,0.5719104067790319,13899,1544
ERKIC50,0.1,8,original_mclrp,0.6181409554484897,0.961071294624812,0.7635103721627545,13899,1544
ERKIC50,0.1,8,mfmr_base,0.6546468783785707,0.7621336841973845,0.5816199910774051,13899,1544
ERKIC50,0.1,9,original_mclrp,0.6031247581886475,0.9449704292173766,0.7288110243053948,13899,1544
ERKIC50,0.1,9,mfmr_base,0.6283984908019122,0.776338057206962,0.5734194353548342,13899,1544
ERKIC50,0.15,0,original_mclrp,0.5761928648499546,0.9657749420252713,0.7490193411118978,13127,2316
ERKIC50,0.15,0,mfmr_base,0.6139776898551798,0.8007415694363879,0.5992909492646463,13127,2316
