dataset,mask_ratio,method,metric,mean,sd,ci_low,ci_high,n
ERKAUC30,0.1,mfmr_base,pcc,0.676515976469716,0.017368845715891527,0.664091052737807,0.6889409002016249,10
ERKAUC30,0.1,mfmr_base,rmse,0.7242601895535855,0.02806095329423048,0.7041865928259414,0.7443337862812296,10
ERKAUC30,0.1,mfmr_base,mae,0.4948297287107774,0.012105617992736042,0.486169891278417,0.5034895661431379,10
ERKAUC30,0.1,original_mclrp,pcc,0.6417499324369437,0.01833215186863487,0.6286359009960887,0.6548639638777987,10
ERKAUC30,0.1,original_mclrp,rmse,0.927608155213046,0.029080922867769605,0.9068049162070727,0.9484113942190192,10
ERKAUC30,0.1,original_mclrp,mae,0.65603609944347,0.009122351312232643,0.6495103624334125,0.6625618364535274,10
ERKAUC30,0.15,mfmr_base,pcc,0.6522081233359924,0.01802277750687448,0.6393154049813584,0.6651008416906264,10
ERKAUC30,0.15,mfmr_base,rmse,0.7502087438339028,0.02784097265760065,0.7302925117738556,0.77012497589395,10
ERKAUC30,0.15,mfmr_base,mae,0.5134863504793796,0.010212742754790312,0.506180594420658,0.5207921065381013,10
ERKAUC30,0.15,original_mclrp,pcc,0.6180327505364995,0.015190494025288504,0.6071661257301347,0.6288993753428643,10
ERKAUC30,0.15,original_mclrp,rmse,0.9368867576658204,0.030144810813945364,0.9153224590703526,0.9584510562612882,10
ERKAUC30,0.15,original_mclrp,mae,0.6634037716480521,0.013130267829603066,0.654010943878669,0.6727965994174352,10
ERKAUC30,0.2,mfmr_base,pcc,0.6305971760973764,0.01465625743114929,0.6201127211280608,0.641081631066692,10
ERKAUC30,0.2,mfmr_base,rmse,0.7703742162106685,0.018796003292395606,0.7569283654504737,0.7838200669708633,10
ERKAUC30,0.2,mfmr_base,mae,0.5314388453568037,0.0073541026759238355,0.5261780372202343,0.5366996534933732,10
ERKAUC30,0.2,original_mclrp,pcc,0.6007995166657232,0.015419637593438387,0.5897689724254196,0.6118300609060268,10
ERKAUC30,0.2,original_mclrp,rmse,0.9381458858377858,0.023050245358418864,0.9216567336359152,0.9546350380396564,10
ERKAUC30,0.2,original_mclrp,mae,0.666469843460803,0.013161645016165744,0.6570545698043218,0.6758851171172842,10
ERKAUC30,0.25,mfmr_base,pcc,0.6186726490244013,0.01892394879942128,0.6051352715621656,0.632210026486637,10
ERKAUC30,0.25,mfmr_base,rmse,0.7839960244326011,0.01986910757204869,0.7697825211151108,0.7982095277500914,10
ERKAUC30,0.25,mfmr_base,mae,0.5417001030975588,0.007071621076547473,0.5366413701239179,0.5467588360711997,10
ERKAUC30,0.25,original_mclrp,pcc,0.5796648849859801,0.015916661097614197,0.5682787915495259,0.5910509784224344,10
ERKAUC30,0.25,original_mclrp,rmse,0.9478445515487746,0.021112987144954805,0.9327412303885881,0.962947872708961,10
ERKAUC30,0.25,original_mclrp,mae,0.6731111550259146,0.014453429320258107,0.6627717945464535,0.6834505155053756,10
ERKAUC30,0.3,mfmr_base,pcc,0.6054837396289277,0.014598761521897135,0.5950404147553617,0.6159270645024936,10
ERKAUC30,0.3,mfmr_base,rmse,0.7956583835148933,0.014430702892484291,0.7853352805424887,0.8059814864872978,10
ERKAUC30,0.3,mfmr_base,mae,0.5451879683911232,0.007951652022599133,0.5394996992027408,0.5508762375795055,10
ERKAUC30,0.3,original_mclrp,pcc,0.5536403768294018,0.01140678101288235,0.5454804572567398,0.5618002964020639,10
ERKAUC30,0.3,original_mclrp,rmse,0.9568893779670675,0.014898560418385352,0.946231589882491,0.967547166051644,10
ERKAUC30,0.3,original_mclrp,mae,0.6748418163102043,0.011408197788015153,0.6666808832376668,0.6830027493827419,10
ERKIC50,0.1,mfmr_base,pcc,0.6457876088768039,0.011012623545108591,0.6379096525707606,0.6536655651828471,10
ERKIC50,0.1,mfmr_base,rmse,0.767982110079428,0.02121519061424148,0.7528056769616713,0.7831585431971846,10
ERKIC50,0.1,mfmr_base,mae,0.5790753236977667,0.010813726120570683,0.57133965003795,0.5868109973575835,10
ERKIC50,0.1,original_mclrp,pcc,0.6070173971081498,0.015706568227352412,0.5957815950573363,0.6182531991589634,10
ERKIC50,0.1,original_mclrp,rmse,0.957348397433585,0.023686532943978874,0.9404040725131894,0.9742927223539807,10
ERKIC50,0.1,original_mclrp,mae,0.7450800099469117,0.011398100798804751,0.7369262998253355,0.7532337200684879,10
ERKIC50,0.15,mfmr_base,pcc,0.6364450499702918,0.01325083560192315,0.6269659732123399,0.6459241267282437,10
ERKIC50,0.15,mfmr_base,rmse,0.773904103067029,0.01643765577803962,0.7621453124879491,0.7856628936461088,10
